Id,SerialId,Name,BookStatus,CreatedOn,IsDel,Remark
3,YFSJ0001,SQL Server 2008查询性能优化,0,2015-11-13 16:49:06.500,0,
4,YFSJ0002,Hadoop权威指南(第2版),0,2015-11-13 16:49:06.500,0,
5,YFSJ0005,8+1绩效量化工具与应用,0,2015-11-13 16:49:06.500,0,
6,YFSJ0008,HTML5 Canvas游戏开发实战,0,2015-11-13 16:49:06.500,0,
7,YFSJ0009,性能测试进阶指南,0,2015-11-13 16:49:06.500,0,
8,YFSJ0010,商务策划文案写作（修订第2版）,0,2015-11-13 16:49:06.500,0,
9,YFSJ0011,硝烟中的Scrum和XP,0,2015-11-13 16:49:06.500,0,
10,YFSJ0013,硝烟中的Scrum和XP,0,2015-11-13 16:49:06.500,0,
11,YFSJ0014,硝烟中的Scrum和XP,0,2015-11-13 16:49:06.500,0,
12,YFSJ0015,敏捷软件开发：原则，模式与实践,0,2015-11-13 16:49:06.500,0,
13,YFSJ0016,敏捷软件开发：原则，模式与实践,0,2015-11-13 16:49:06.500,0,
14,YFSJ0017,"jQuery内核详解与实践,",0,2015-11-13 16:49:06.500,0,
15,YFSJ0018,ASP.NET MVC3高级编程 ,0,2015-11-13 16:49:06.500,0,
16,YFSJ0019,项目管理：计划、进度和控制的系统方法（第10版）,0,2015-11-13 16:49:06.500,0,
17,YFSJ0020,敏捷软件开发：原则，模式与实践,0,2015-11-13 16:49:06.500,0,
18,YFSJ0021,软件开发项目管理,0,2015-11-13 16:49:06.500,0,
19,YFSJ0023,投影机的原理与维修,0,2015-11-13 16:49:06.500,0,
20,YFSJ0025,数码摄影后期密码:Photoshop CS6调色秘籍,0,2015-11-13 16:49:06.500,0,
21,YFSJ0026,快速软件开发,0,2015-11-13 16:49:06.500,0,
22,YFSJ0027,Landing Page优化权威指南,0,2015-11-13 16:49:06.500,0,
23,YFSJ0028,产品经理修炼之道,0,2015-11-13 16:49:06.500,0,
24,YFSJ0029,网站分析实战:如何以数据驱动决策，提升网站价值,0,2015-11-13 16:49:06.500,0,
25,YFSJ0030,当用户体验设计遇上敏捷,0,2015-11-13 16:49:06.500,0,
26,YFSJ0031,善用佳软:高效能人士的软件应用之道,0,2015-11-13 16:49:06.500,0,
27,YFSJ0032,Microsoft .NET企业级应用架构设计,0,2015-11-13 16:49:06.500,0,
28,YFSJ0033,黏住顾客:foursquare如何打造忠实客户群,0,2015-11-13 16:49:06.500,0,
29,YFSJ0034,YES！产品经理,0,2015-11-13 16:49:06.500,0,
30,YFSJ0035,软件架构设计：程序员向架构师转型必备（第2版）,0,2015-11-13 16:49:06.500,0,
31,YFSJ0036,李开复 《做最好的自己》,0,2015-11-13 16:49:06.500,0,
32,YFSJ0037,ASP.NET 4高级程序设计（第4版） ,0,2015-11-13 16:49:06.500,0,
33,YFSJ0038,产品经理修炼之道,0,2015-11-13 16:49:06.500,0,
34,YFSJ0039,精通-自动化测试技术领航,0,2015-11-13 16:49:06.500,0,
35,YFSJ0040,探索式软件测试,0,2015-11-13 16:49:06.500,0,
36,YFSJ0041,软件自动化测试框架设计与实践,0,2015-11-13 16:49:06.500,0,
37,YFSJ0042,软件性能测试过程详解与案例剖析,0,2015-11-13 16:49:06.500,0,
38,YFSJ0043,锋利的jQuery(第2版),0,2015-11-13 16:49:06.500,0,
39,YFSJ0044,SQL Server 2008查询性能优化,0,2015-11-13 16:49:06.500,0,
40,YFSJ0045,精通CSS-高级web标准解决方案（第2版）,0,2015-11-13 16:49:06.500,0,
41,YFSJ0047,数码摄影后期密码:Photoshop CS6调色秘籍,0,2015-11-13 16:49:06.500,0,
42,YFSJ0048,编写可维护的JavaScript,0,2015-11-13 16:49:06.500,0,
43,YFSJ0049,HTTP权威指南,0,2015-11-13 16:49:06.500,0,
44,YFSJ0050,安全技术大系:Web应用安全威胁与防治•基于OWASP Top 10与ESAPI ,0,2015-11-13 16:49:06.500,0,
45,YFSJ0052,.Net高级调试,0,2015-11-13 16:49:06.500,0,
46,YFSJ0053,锋利的jQuery(第2版),0,2015-11-13 16:49:06.500,0,
47,YFSJ0054,锋利的jQuery(第2版),0,2015-11-13 16:49:06.500,0,
48,YFSJ0055,锋利的jQuery(第2版),0,2015-11-13 16:49:06.500,0,
49,YFSJ0056,ASP.NET MVC4框架揭秘,0,2015-11-13 16:49:06.500,0,
50,YFSJ0058,数学之美,0,2015-11-13 16:49:06.500,0,
51,YFSJ0059,"给你一个团队,你能怎么管?",0,2015-11-13 16:49:06.500,0,
52,YFSJ0060,用户体验要素：以用户为中心的产品设计（原书第2版）,0,2015-11-13 16:49:06.500,0,
53,YFSJ0061,代码整洁之道,0,2015-11-13 16:49:06.500,0,
54,YFSJ0062,构建高性能Web站点(修订版),0,2015-11-13 16:49:06.500,0,
55,YFSJ0063,代码整洁之道,0,2015-11-13 16:49:06.500,0,
56,YFSJ0064,色彩设计——日本平面设计师参考手册(日本著名设计杂志《+DESIGNING》编辑部出品，全书满载瞬时见效的色彩工作法则),0,2015-11-13 16:49:06.500,0,
57,YFSJ0065,用户故事与敏捷方法,0,2015-11-13 16:49:06.500,0,
58,YFSJ0066,重构:改善既有代码的设计,0,2015-11-13 16:49:06.500,0,
59,YFSJ0067,软件架构设计：程序员向架构师转型必备（第2版）,0,2015-11-13 16:49:06.500,0,
60,YFSJ0068,项目风险管理第2版,0,2015-11-13 16:49:06.500,0,
61,YFSJ0069,项目风险管理第2版,0,2015-11-13 16:49:06.500,0,
62,YFSJ0070,敏捷软件开发：原则，模式与实践,0,2015-11-13 16:49:06.500,0,
63,YFSJ0071,高效程序员的45个习惯敏捷开发修炼之道,0,2015-11-13 16:49:06.500,0,
64,YFSJ0072,深入浅出数据分析,0,2015-11-13 16:49:06.500,0,
65,YFSJ0073,重构:改善既有代码的设计,0,2015-11-13 16:49:06.500,0,
66,YFSJ0074,重构:改善既有代码的设计,0,2015-11-13 16:49:06.500,0,
67,YFSJ0076,Exchange Server 2010管理员手册,0,2015-11-13 16:49:06.500,0,
68,YFSJ0077,这就是搜索引擎：核心技术详解,0,2015-11-13 16:49:06.500,0,
69,YFSJ0078,ASP.NET MVC4框架揭秘,0,2015-11-13 16:49:06.500,0,
70,YFSJ0079,Java并发编程实战,0,2015-11-13 16:49:06.500,0,
71,YFSJ0080,Hadoop实战(第2版),0,2015-11-13 16:49:06.500,0,
72,YFSJ0081,疯狂Java讲义(第2版),0,2015-11-13 16:49:06.500,0,
73,YFSJ0083,UPS应用与故障诊断,0,2015-11-13 16:49:06.500,0,
74,YFSJ0084,UX最佳实践：提高用户体验影响力的艺术,0,2015-11-13 16:49:06.500,0,
75,YFSJ0086,重构:改善既有代码的设计,0,2015-11-13 16:49:06.500,0,
76,YFSJ0087,高效程序员的45个习惯敏捷开发修炼之道,0,2015-11-13 16:49:06.500,0,
77,YFSJ0088,只有偏执狂才能生存,0,2015-11-13 16:49:06.500,0,
78,YFSJ0089,深入解析SQL Server 2008 ,0,2015-11-13 16:49:06.500,0,
79,YFSJ0090,当用户体验设计遇上敏捷,0,2015-11-13 16:49:06.500,0,
80,YFSJ0091,CCNA学习指南,0,2015-11-13 16:49:06.500,0,
81,YFSJ0092,Wireshark数据包分析实战（第2版）,0,2015-11-13 16:49:06.500,0,
82,YFSJ0093,鸟哥的私房菜服务器架设篇,0,2015-11-13 16:49:06.500,0,
83,YFSJ0094,大数据挑战与NoSQL数据库技术,0,2015-11-13 16:49:06.500,0,
84,YFSJ0095,Hadoop实战(第2版),0,2015-11-13 16:49:06.500,0,
85,YFSJ0096,Microsoft .NET企业级应用架构设计,0,2015-11-13 16:49:06.500,0,
86,YFSJ0097,高效程序员的45个习惯敏捷开发修炼之道,0,2015-11-13 16:49:06.500,0,
87,YFSJ0099,用户故事与敏捷方法,0,2015-11-13 16:49:06.500,0,
88,YFSJ0100,用户故事与敏捷方法,0,2015-11-13 16:49:06.500,0,
89,YFSJ0102,Scrum敏捷软件开发,0,2015-11-13 16:49:06.500,0,
90,YFSJ0103,Scrum敏捷软件开发,0,2015-11-13 16:49:06.500,0,
91,YFSJ0104,Scrum敏捷项目管理,0,2015-11-13 16:49:06.500,0,
92,YFSJ0105,持续交付发布可靠软件的系统方法,0,2015-11-13 16:49:06.500,0,
93,YFSJ0106,.Net单元测试艺术,0,2015-11-13 16:49:06.500,0,
94,YFSJ0107,百度推广——搜索营销新视角,0,2015-11-13 16:49:06.500,0,
95,YFSJ0108,微信，这么玩才赚钱,0,2015-11-13 16:49:06.500,0,
96,YFSJ0109,微信公众平台搭建与开发揭秘,0,2015-11-13 16:49:06.500,0,
97,YFSJ0110,客户关系管理,0,2015-11-13 16:49:06.500,0,
98,YFSJ0111,产品经理修炼之道,0,2015-11-13 16:49:06.500,0,
99,YFSJ0112,深入理解Nginx,0,2015-11-13 16:49:06.500,0,
